Date,Close,High,Low,Open,Volume,Ticker,log_close,prev_log_close,prev_high,prev_low,prev_open,prev_volume,log_ret,vol_change,ma5,ma20,ma5_close_ratio,ma20_close_ratio,hl_range
2012-02-08,52.485050201416016,52.485050201416016,52.078715362254485,52.485050201416016,34702000,2330.TW,3.9605283709780346,3.959237294187568,52.48505331162537,52.01099683231613,52.48505331162537,29943000.0,0.0012910767904665832,-0.37020444220090865,3.9535195288981604,3.9372052807228144,1.0014462468814467,1.0055958508367917,0.009043888041890265
2012-02-09,52.82367706298828,52.82367706298828,51.80783711946928,52.14645043397561,54953000,2330.TW,3.9669595194211427,3.9605283709780346,52.485050201416016,52.078715362254485,52.485050201416016,34702000.0,0.006431148443108103,0.15893531042313724,3.9548139670465994,3.942437478838164,1.0014449235739153,1.0045887581570987,0.007741915795110891
2012-02-10,52.07872009277344,52.823668226707504,51.94327168953107,52.823668226707504,42117000,2330.TW,3.9527564218067233,3.9669595194211427,52.82367706298828,51.80783711946928,52.14645043397561,54953000.0,-0.014203097614419402,0.5835686703936374,3.9579148472318506,3.947492293747105,1.002285211415202,1.0049315424136165,0.019230769230769083
2012-02-13,51.87554168701172,52.21415489014733,51.60465009113773,51.74009847248844,36380000,2330.TW,3.9488474206556052,3.9527564218067233,52.823668226707504,51.94327168953107,52.823668226707504,42117000.0,-0.00390900115111803,-0.2335814241260714,3.959743780116207,3.9518369537753246,0.998235401405371,1.0002326685139478,0.01690511087077573
2012-02-14,52.34961318969727,52.41733480978949,51.60465986819749,52.21416478268439,41995000,2330.TW,3.957944548362739,3.9488474206556052,52.21415489014733,51.60465009113773,51.74009847248844,36380000.0,0.00909712770713389,-0.13621577985136646,3.957665805409815,3.95223012762318,0.9977718217788486,0.999144101720208,0.011749367412624116
2012-02-15,53.16227722167969,53.16227722167969,52.55277237303371,52.55277237303371,70978000,2330.TW,3.9733490700547183,3.957944548362739,52.41733480978949,51.60465986819749,52.21416478268439,41995000.0,0.015404521691979145,0.15434304562946677,3.9574072562448492,3.9533420168485613,1.0001357687200483,1.0011642128342457,0.01552399133585078
2012-02-16,53.16227722167969,53.433168839614325,52.82366399096835,53.16227722167969,57944000,2330.TW,3.9733490700547183,3.9733490700547183,53.16227722167969,52.55277237303371,52.55277237303371,70978000.0,0.0,0.6901535897130611,3.9599713960601854,3.9552241321585404,1.0033782249053218,1.0045825311766305,0.011464987590814088
2012-02-17,54.17811965942383,54.92306777137528,53.77178479534377,53.83950641155243,63929000,2330.TW,3.9922771306177105,3.9733490700547183,53.433168839614325,52.82366399096835,53.16227722167969,57944000.0,0.018928060562992233,-0.18363436557806645,3.961249306186901,3.9565145163902633,1.003054532278218,1.004254894957346,0.011464987590814088
2012-02-20,54.17811965942383,54.71990292274931,53.97494964396974,54.58445452350388,31043000,2330.TW,3.9922771306177105,3.9922771306177105,54.92306777137528,53.77178479534377,53.83950641155243,63929000.0,0.0,0.1032893828524093,3.969153447949098,3.9587513036501365,1.0058258474941453,1.0084687883617902,0.021249961853027396
2012-02-21,54.17811965942383,54.17811965942383,53.70406317913512,54.17811965942383,27443000,2330.TW,3.9922771306177105,3.9922771306177105,54.71990292274931,53.97494964396974,54.58445452350388,31043000.0,0.0,-0.5144144285066246,3.9778393899415194,3.960662351169229,1.0036295433930034,1.0079821950586494,0.013750076293945312
2012-02-22,53.97495269775391,54.1781227247029,53.50089619064412,54.11040110466271,41090000,2330.TW,3.9885201000272383,3.9922771306177105,54.17811965942383,53.70406317913512,54.17811965942383,27443000.0,-0.0037570305904721657,-0.11596817317913866,3.984705906392514,3.962249789151213,1.0019000710223183,1.007578356505618,0.008749961853027344
2012-02-23,52.891395568847656,53.771792201301054,52.62050389987516,53.50090053232856,59936000,2330.TW,3.9682406709813876,3.9885201000272383,54.1781227247029,53.50089619064412,54.11040110466271,41090000.0,-0.020279429045850783,0.4972852822213314,3.987740112387018,3.9650892474530366,1.0001955964075486,1.0059092875625064,0.012547051923344514
2012-02-24,53.568607330322266,53.568607330322266,52.281876133985776,52.485046121185846,39386000,2330.TW,3.9809632123610266,3.9682406709813876,53.771792201301054,52.62050389987516,53.50090053232856,59936000.0,0.012722541379639019,0.45865174008274523,3.9867184325723515,3.96671594280935,0.9953651701509701,1.0003843804784665,0.021767024466716606
2012-02-29,54.92306900024414,54.92306900024414,53.77178599845341,54.31356410707272,77948000,2330.TW,4.005933460624779,3.9809632123610266,53.568607330322266,52.281876133985776,52.485046121185846,39386000.0,0.02497024826375238,-0.3428657234383342,3.984455648921015,3.9682565121360396,0.9991234846443996,1.0032020864039728,0.024020247313917782
2012-03-01,54.24583435058594,54.85533915231043,54.24583435058594,54.85533915231043,21169000,2330.TW,3.993526203308046,4.005933460624779,54.92306900024414,53.77178599845341,54.31356410707272,77948000.0,-0.012407257316732867,0.9790788605088103,3.987186914922428,3.9697584985863386,1.0047016972372653,1.009112635454102,0.02096173835052104
2012-03-02,54.17811965942383,54.24584127563248,53.636336396098336,54.17811965942383,23782000,2330.TW,3.9922771306177105,3.993526203308046,54.85533915231043,54.24583435058594,54.85533915231043,21169000.0,-0.0012490726903355842,-0.7284215117770821,3.9874367294604958,3.9707673552490044,1.001527165008678,1.0057315994675329,0.011235974319895533
